ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
DOC-0011;DocBase;Voorstuk A – Snel aan de slag voor vrijwilligers;Taakkaart;Taakkaart 6 – Looplijst controleren;Hoe voert u deze taak uit: Taakkaart 6 – Looplijst controleren?;Waarvoor gebruikt u dit? Om te controleren of bezorging logisch is.;Taakkaart;"Waarvoor gebruikt u dit? Om te controleren of bezorging logisch is.
Stappen
26. Ga naar Relaties.
27. Kies 07. Bezorging - wijkgegevens.
28. Open de juiste wijk of route.
29. Controleer of overleden en verhuisde personen niet onterecht op de lijst staan.
30. Controleer of per persoon of per huishouden wordt gewerkt.
Controle
• Juiste locatie.
• Juiste wijk.
• Geen dubbele adressen.
• Geen oude lijst.
Niet doen
• Niet per persoon bezorgen als per huishouden bedoeld is.
• Geen oude Excel-lijst gebruiken.
• Geen lijst rondsturen met te veel gegevens.

Bron: Handleiding DocBase v1.8b, PDF-pagina 50."
DOC-0012;DocBase;Voorstuk B – Wegwijs in het linkermenu van DocBase;Voorstuk;Voorstuk B – Wegwijs in het linkermenu van DocBase;Hoe werkt / wat betekent: Voorstuk B – Wegwijs in het linkermenu van DocBase?;De snelste manier om deze handleiding te gebruiken is kijken naar het menu links in DocBase. De;Voorstuk;"De snelste manier om deze handleiding te gebruiken is kijken naar het menu links in DocBase. De
handleiding volgt daarom eerst de vier hoofdgebieden die u op het scherm ziet.

Bron: Handleiding DocBase v1.8b, PDF-pagina 51."
DOC-0013;DocBase;Voorstuk B – Wegwijs in het linkermenu van DocBase;Paragraaf;B.1 De hoofdindeling die u links ziet;Hoe werkt / wat betekent: De hoofdindeling die u links ziet?;Menu links in DocBase;Paragraaf;"Menu links in DocBase
Gewone uitleg
Waarvoor gebruikt u dit?
Mijn werkplek
Uw eigen startplek.
Opgeslagen zoekopdrachten,
persoonlijke tabbladen en terugkerende
overzichten.
Dossiers
Verzamelmappen en overzichten.
Instructies, helpdeskoverzichten, SILA-
overzichten, status voorkeursparochie
en parochiedossier.
Documenten
Documenten, tickets en bijlagen.
Helpdesk tickets, correspondentie,
graf- en begravingdocumenten,
parochiedocumenten en ticketbijlagen.
Relaties
Het belangrijkste werkgebied.
Ledenadministratie, kerkelijke data,
debiteuren, abonnementen,
vrijwilligers, bezorging, begraafplaatsen,
grafbeheer, KASKI en SILA.

Bron: Handleiding DocBase v1.8b, PDF-pagina 51."
DOC-0014;DocBase;Voorstuk B – Wegwijs in het linkermenu van DocBase;Paragraaf;B.2 Zo ziet het menu eruit;Hoe werkt / wat betekent: Zo ziet het menu eruit?;Onderstaande afbeeldingen zijn voorbeelden van het menu. Het kan per gebruiker iets verschillen,;Paragraaf;"Onderstaande afbeeldingen zijn voorbeelden van het menu. Het kan per gebruiker iets verschillen,
afhankelijk van de rechten die iemand heeft.

Bron: Handleiding DocBase v1.8b, PDF-pagina 51."
DOC-0015;DocBase;Voorstuk B – Wegwijs in het linkermenu van DocBase;Paragraaf;B.3 Mijn werkplek;Hoe werkt / wat betekent: Mijn werkplek?;Mijn werkplek is bedoeld als persoonlijke ingang. Hier kan een gebruiker snel terug naar onderdelen die;Paragraaf;"Mijn werkplek is bedoeld als persoonlijke ingang. Hier kan een gebruiker snel terug naar onderdelen die
vaak worden gebruikt. Voor vrijwilligers is dit vooral handig wanneer zij steeds dezelfde zoekopdracht of
lijst nodig hebben.
• Gebruik Mijn werkplek voor eigen overzichten.
• Controleer altijd of een opgeslagen zoekopdracht nog actueel is.
• Gebruik oude zoekopdrachten na samenvoeging niet blind.

Bron: Handleiding DocBase v1.8b, PDF-pagina 54."
DOC-0016;DocBase;Voorstuk B – Wegwijs in het linkermenu van DocBase;Paragraaf;B.4 Dossiers;Hoe werkt / wat betekent: Dossiers?;Dossiers gebruikt u vooral om verzamelinformatie terug te vinden. In het getoonde menu staan;Paragraaf;"Dossiers gebruikt u vooral om verzamelinformatie terug te vinden. In het getoonde menu staan
bijvoorbeeld Instructies, Helpdeskoverzichten, Overzicht SILA Rapportage, Status voorkeursparochie en
Parochiedossier.
Onderdeel onder Dossiers
Waarvoor bedoeld?
Let op
01. Instructies
Instructies en uitleg terugvinden.
Gebruik de meest actuele instructie.
02. Helpdesk overzicht tickets
Tickets bekijken of opvolgen.
Wijzig alleen wanneer u daarvoor
bevoegd bent.
03. Overzicht SILA Rapportage
SILA-overzicht raadplegen.
Verwerk niet blind; controleer de
ledenkaart.
04. Status voorkeursparochie
Voorkeursparochies volgen.
Controleer altijd locatie en reden.
05. Parochiedossier
Parochiegegevens en
dossierinformatie.
Niet gebruiken als losse
werkadministratie.

Bron: Handleiding DocBase v1.8b, PDF-pagina 54."
DOC-0017;DocBase;Voorstuk B – Wegwijs in het linkermenu van DocBase;Paragraaf;B.5 Documenten;Hoe werkt / wat betekent: Documenten?;Documenten gebruikt u voor tickets, correspondentie en bijlagen. Dit onderdeel moet vroeg in de;Paragraaf;"Documenten gebruikt u voor tickets, correspondentie en bijlagen. Dit onderdeel moet vroeg in de
handleiding staan, omdat gewone gebruikers vooral moeten weten hoe zij een vraag goed melden.
Onderdeel onder Documenten
Waarvoor bedoeld?
Boomer-proof uitleg
01. Instructiemateriaal
Handleidingen en instructies.
Hier zoekt u uitleg voordat u zelf gaat
proberen.
02. Helpdesk tickets
Een vraag of probleem melden.
Bij twijfel: ticket maken. Geen
gokcorrecties uitvoeren.
03. Correspondentie
Brieven en vastgelegde
correspondentie.
Controleer of u het juiste dossier of de
juiste relatie heeft.
04. Graf- en begravingdocumenten
Documenten bij grafbeheer.
Extra zorgvuldig gebruiken; dit is
gevoelig.
05. Parochie logo’s
Logo’s voor sjablonen of communicatie.
Niet wijzigen zonder afspraak.
06. Parochiedocumenten
Algemene parochiedocumenten.
Gebruik de juiste versie.
07. HD Ticket bijlagen
Bijlagen bij helpdesktickets.
Voeg alleen noodzakelijke bijlagen toe.

Bron: Handleiding DocBase v1.8b, PDF-pagina 54."
DOC-0018;DocBase;Voorstuk B – Wegwijs in het linkermenu van DocBase;Paragraaf;B.6 Relaties;Hoe werkt / wat betekent: Relaties?;Relaties is het belangrijkste werkgebied. Hier vindt u personen, leden, vrijwilligers, kerkbijdrage,;Paragraaf;"Relaties is het belangrijkste werkgebied. Hier vindt u personen, leden, vrijwilligers, kerkbijdrage,
begraafplaatsen, grafbeheer en rapportages. De onderstaande volgorde volgt het menu zoals gebruikers
dat links zien.
Onderdeel onder Relaties
Waarvoor bedoeld?
Belangrijkste waarschuwing
01. Ledenadministratie
Personen, leden, huishoudens en
adressen.
Eerst zoeken, dan pas controleren of
wijzigen.
02. Kerkelijke data
Doop, communie, vormsel, huwelijk,
uitvaart en kerkelijke status.
Niet wijzigen zonder bron.
03. Debiteuren
Financiële relaties.
Niet dubbel aanmaken.
04. Abonnementen
Kerkbijdrage en periodieke bijdragen.
Controleer bedrag, jaargang,
betaalwijze en debiteur.
05. Overzicht kerkbijdrage
Overzicht van kerkbijdragegegevens.
Toezegging is niet hetzelfde als betaling.
06. Vrijwilligers
Vrijwilligers en functies.
Personen en functies niet door elkaar
halen.
07. Bezorging - wijkgegevens
Wijken, routes en looplijsten.
Geen oude looplijsten gebruiken.
08. Begraafplaatsen
Begraafplaatsen en locaties.
Grafnummer nooit zonder
begraafplaats gebruiken.
09. Grafbeheer
Graven, rechthebbenden en
grafrechten.
Rechthebbende en belanghebbende
niet verwarren.
10. Begravingen
Begravingen en overledenen bij graven.
Overlijden, uitvaart en begraving zijn
verschillend.
11/12. Betrokken organisaties en
belanghebbenden graf
Contacten rondom grafbeheer.
Rol en bevoegdheid controleren.
13. Werkgroepstructuur
Aandachtsvelden, werkgroepen, codes
en functies.
Gebruik vaste namen en zoek via
keuzelijsten.
14. Kaskinummers per postcode
KASKI-koppelingen en postcode-
indeling.
Alleen gebruiken volgens inrichting.
15. Aanvraag voorkeursparochie
Aanvragen en controle
voorkeursparochie.
Voorkeur is niet hetzelfde als
geografische parochie.
16. Tekstblokken
Standaardteksten voor brieven of
sjablonen.
Niet aanpassen zonder afspraak.
91. Samenvoegen adm./Fusies
Samenvoeging en fusies.
Projectmatig behandelen, niet als
gewone wijziging.
92. KASKI jaarrapportage
Jaarrapportage en tellingen.
Eerst SILA en basisgegevens
controleren.
93. KASKI mutaties
Mutaties voor KASKI-controle.
Controleer periode en betekenis.
94. Verwijderde leden
Verwijderde of afgesloten leden.
Niet gebruiken om zomaar te herstellen.
95. Laatste login per user
Controle gebruikersactiviteit.
Voor beheer en autorisatiecontrole.
96. Gebruikerslijst
Gebruikersoverzicht.
Rechten moeten passen bij taak.
97. SILA Mutaties rapportage
SILA-mutaties bekijken.
Mutatie beoordelen en vervolgacties
controleren.
98. View mutatie historie
Historie van wijzigingen.
Gebruik om wijzigingen te begrijpen,
niet om te gokken.
99. Parochiegegevens
Parochiegegevens en KASKI-nummers.
Alleen wijzigen volgens beheerafspraak.
Views
Speciale overzichten.
Altijd controleren welke selectie of view
u gebruikt.

Bron: Handleiding DocBase v1.8b, PDF-pagina 55."
DOC-0019;DocBase;Voorstuk C – Ik wil... waar vind ik dat?;Voorstuk;Voorstuk C – Ik wil... waar vind ik dat?;Hoe werkt / wat betekent: Voorstuk C – Ik wil... waar vind ik dat??;Deze tabel is bedoeld voor gebruikers die niet weten in welk menu zij moeten zijn. Zoek eerst wat u wilt;Voorstuk;"Deze tabel is bedoeld voor gebruikers die niet weten in welk menu zij moeten zijn. Zoek eerst wat u wilt
doen. Ga daarna naar het genoemde menuonderdeel.
Ik wil...
Ga naar
Let op
Een persoon zoeken
Relaties > 01. Ledenadministratie
Controleer naam, geboortedatum en
adres.
Een ledenkaart controleren
Relaties > 01. Ledenadministratie
Niet wijzigen zonder bron.
Een ticket maken
Documenten > 02. Helpdesk tickets
Bij twijfel altijd liever melden dan
gokken.
Een bijlage bij een ticket zetten
Documenten > 07. HD Ticket bijlagen of
vanuit het ticket
Alleen noodzakelijke bijlagen
toevoegen.
Een SILA-mutatie bekijken
Relaties > 97. SILA Mutaties rapportage
Niet blind verwerken.
Voorkeursparochie controleren
Dossiers > Status voorkeursparochie of
Relaties > 15. Aanvraag
voorkeursparochie
Controleer reden en locatie.
Kerkelijke gegevens controleren
Relaties > 02. Kerkelijke data
Bron verplicht.
Kerkbijdrage controleren
Relaties > 04. Abonnementen of 05.
Overzicht kerkbijdrage
Toezegging, abonnement, incasso en
betaling niet verwarren.
Debiteur controleren
Relaties > 03. Debiteuren
Niet dubbel aanmaken.
Vrijwilliger zoeken
Relaties > 06. Vrijwilligers
Controleer of het om persoon of functie
gaat.
Werkgroepstructuur bekijken
Relaties > 13. Werkgroepstructuur
Gebruik vaste naamgeving.
Looplijst controleren
Relaties > 07. Bezorging - wijkgegevens
Controleer overleden, verhuisd en
dubbele adressen.
Begraafplaats bekijken
Relaties > 08. Begraafplaatsen
Controleer de juiste begraafplaats.
Graf beheren of controleren
Relaties > 09. Grafbeheer
Rechthebbende en belanghebbende
niet verwarren.
Begraving controleren
Relaties > 10. Begravingen
Overlijden, uitvaart en begraving apart
controleren.
KASKI-jaarrapportage bekijken
Relaties > 92. KASKI jaarrapportage
Controleer eerst basisgegevens en
filters.
Gebruikers of rechten bekijken
Relaties > 95/96 Laatste login of
Gebruikerslijst
Alleen voor bevoegde beheerders.
Samenvoeging of fusie controleren
Relaties > 91. Samenvoegen
adm./Fusies
Altijd projectmatig en met
ticket/nazorg.

Bron: Handleiding DocBase v1.8b, PDF-pagina 57."
DOC-0020;DocBase;Voorstuk D – Helpdesk vroeg in beeld;Voorstuk;Voorstuk D – Helpdesk vroeg in beeld;Hoe werkt / wat betekent: Voorstuk D – Helpdesk vroeg in beeld?;Voor gewone gebruikers is de helpdesk geen laatste redmiddel, maar een veilige werkwijze. Als gegevens;Voorstuk;"Voor gewone gebruikers is de helpdesk geen laatste redmiddel, maar een veilige werkwijze. Als gegevens
niet logisch zijn, maakt u een ticket. Daarmee voorkomt u dat fouten groter worden.
Een goed ticket bevat minimaal
• Waar zit u? Bijvoorbeeld Relaties > Ledenadministratie of Documenten > Helpdesk tickets.
• Over welke administratie, locatie, persoon, Rel-ID of grafnummer gaat het?
• Wat ziet u dat niet klopt?
• Wat heeft u zelf al gecontroleerd?
• Welke concrete vraag stelt u aan de helpdesk?
Uitgebreid handboek – volledige naslag
Vanaf hier volgt het uitgebreide handboek uit v1.2. De inhoudelijke processen zijn behouden. Gebruik de
menugestuurde voorstukken om snel naar het juiste onderwerp te gaan.

Bron: Handleiding DocBase v1.8b, PDF-pagina 58."
DOC-0021;DocBase;Deel 01 – Basisbegrip van DocBase;Hoofdstuk 1 – Wat is DocBase?;Hoofdstuk 1 – Wat is DocBase?;Hoe werkt / wat betekent: Hoofdstuk 1 – Wat is DocBase??;"Kort vooraf: in dit hoofdstuk vindt u uitleg over DocBase als centrale ledenadministratie; DocBase is geen";Hoofdstuk;"Kort vooraf: in dit hoofdstuk vindt u uitleg over DocBase als centrale ledenadministratie; DocBase is geen
losstaand systeem; en Waarom vaste werkwijzen nodig zijn.

Bron: Handleiding DocBase v1.8b, PDF-pagina 60."
DOC-0022;DocBase;Deel 01 – Basisbegrip van DocBase;Hoofdstuk 1 – Wat is DocBase?;1.1 DocBase als centrale ledenadministratie;Hoe werkt / wat betekent: DocBase als centrale ledenadministratie?;DocBase is het systeem waarin de parochiële ledenadministratie wordt bijgehouden. In DocBase;Paragraaf;"DocBase is het systeem waarin de parochiële ledenadministratie wordt bijgehouden. In DocBase
staan gegevens van personen, huishoudens, relaties, kerkelijke gebeurtenissen, adressen,
voorkeuren, parochiegegevens, vrijwilligers, abonnementen, bijdragen en
begraafplaatsgegevens.
Voor veel gebruikers lijkt DocBase op het eerste gezicht vooral een systeem waarin men
personen kan opzoeken. In werkelijkheid is DocBase een systeem waarin verschillende
administratieve werelden samenkomen.
DocBase bevat onder meer:
• persoonsgegevens;
• adresgegevens;
• gezins- en huishoudgegevens;
• kerkelijke gegevens;
• SILA-gegevens;
• KASKI-gegevens;
• parochie- en locatiegegevens;
• kerkbijdragegegevens;
• debiteurengegevens;
• abonnementen;
• vrijwilligersgegevens;
• werkgroepen;
• bezorgwijken;
• looplijsten;
• begraafplaatsgegevens;
• grafrechten;
• relaties met Exact Online.
Daarom is zorgvuldig werken belangrijk. Een wijziging is zelden alleen een wijziging op één
scherm. Veel gegevens worden gebruikt in selecties, rapportages, exports of koppelingen.

Bron: Handleiding DocBase v1.8b, PDF-pagina 60."
DOC-0023;DocBase;Deel 01 – Basisbegrip van DocBase;Hoofdstuk 1 – Wat is DocBase?;1.2 DocBase is geen losstaand systeem;Hoe werkt / wat betekent: DocBase is geen losstaand systeem?;DocBase staat niet los van andere processen. Het systeem heeft verbinding met:;Paragraaf;"DocBase staat niet los van andere processen. Het systeem heeft verbinding met:
• SILA voor mutaties;
• KASKI voor kerkelijke rapportage;
• Exact Online voor financiële verwerking;
• parochiële processen rond kerkbijdrage;
• begraafplaatsadministratie;
• vrijwilligersadministratie;
• helpdeskprocessen;
• AVG-verplichtingen.
Een gebruiker hoeft niet alle technische koppelingen te begrijpen, maar moet wel weten dat een
wijziging gevolgen kan hebben.
Voorbeeld:
Wanneer een persoon verhuist, kan dat gevolgen hebben voor:
• de geografische parochie;
• de voorkeursparochie;
• de bezorgwijk;
• de looplijst;
• de kerkbijdrage;
• de communicatie;
• de KASKI-telling;
• de SILA-status;
• de koppeling met Exact Online.
Daarom moet u niet alleen “het adres aanpassen”, maar ook controleren of de rest van de
administratie nog klopt.

Bron: Handleiding DocBase v1.8b, PDF-pagina 61."
DOC-0024;DocBase;Deel 01 – Basisbegrip van DocBase;Hoofdstuk 1 – Wat is DocBase?;1.3 Waarom vaste werkwijzen nodig zijn;Waarom vaste werkwijzen nodig zijn?;Wanneer iedere parochie op een eigen manier met DocBase werkt, ontstaan verschillen. Die;Paragraaf;"Wanneer iedere parochie op een eigen manier met DocBase werkt, ontstaan verschillen. Die
verschillen veroorzaken later problemen bij rapportages, samenvoegingen, helpdeskvragen en
controles.
Vaste werkwijzen zorgen ervoor dat:
• gegevens beter vergelijkbaar zijn;
• foutmeldingen sneller worden herkend;
• de helpdesk sneller kan helpen;
• rapportages betrouwbaarder worden;
• samenvoegingen minder herstelwerk vragen;
• AVG-risico’s kleiner worden;
• gebruikers minder afhankelijk zijn van losse kennis van één persoon.
De handleiding beschrijft daarom niet alleen hoe u iets kunt doen, maar vooral hoe u het bij
voorkeur moet doen.

Bron: Handleiding DocBase v1.8b, PDF-pagina 61."
DOC-0025;DocBase;Deel 01 – Basisbegrip van DocBase;Hoofdstuk 2 – Voor wie is deze handleiding bedoeld?;Hoofdstuk 2 – Voor wie is deze handleiding bedoeld?;Hoe werkt / wat betekent: Hoofdstuk 2 – Voor wie is deze handleiding bedoeld??;"Kort vooraf: in dit hoofdstuk vindt u uitleg over Parochiesecretariaten; Ledenadministrateurs; Financiële";Hoofdstuk;"Kort vooraf: in dit hoofdstuk vindt u uitleg over Parochiesecretariaten; Ledenadministrateurs; Financiële
medewerkers; Vrijwilligerscoördinatoren; en Begraafplaatsbeheerders. Ook de overige paragrafen in dit
hoofdstuk werken deze onderwerpen verder uit.

Bron: Handleiding DocBase v1.8b, PDF-pagina 62."
DOC-0026;DocBase;Deel 01 – Basisbegrip van DocBase;Hoofdstuk 2 – Voor wie is deze handleiding bedoeld?;2.1 Parochiesecretariaten;Hoe werkt / wat betekent: Parochiesecretariaten?;Voor parochiesecretariaten is DocBase vaak het dagelijkse systeem voor het opzoeken van;Paragraaf;"Voor parochiesecretariaten is DocBase vaak het dagelijkse systeem voor het opzoeken van
leden, controleren van adressen, verwerken van vragen en ondersteunen van pastorale en
administratieve taken.
Secretariaten gebruiken DocBase bijvoorbeeld voor:
• zoeken van personen;
• controleren van adresgegevens;
• voorbereiden van correspondentie;
• ondersteunen van parochiebestuur;
• doorgeven van correcties;
• raadplegen van kerkelijke gegevens;
• controleren van bezorglijsten;
• maken of controleren van selecties.
Voor secretariaten is vooral belangrijk dat gegevens niet zomaar worden aangepast zonder te
begrijpen wat de wijziging betekent.

Bron: Handleiding DocBase v1.8b, PDF-pagina 62."
DOC-0027;DocBase;Deel 01 – Basisbegrip van DocBase;Hoofdstuk 2 – Voor wie is deze handleiding bedoeld?;2.2 Ledenadministrateurs;Hoe werkt / wat betekent: Ledenadministrateurs?;Ledenadministrateurs werken dieper in DocBase. Zij verwerken mutaties, corrigeren gegevens,;Paragraaf;"Ledenadministrateurs werken dieper in DocBase. Zij verwerken mutaties, corrigeren gegevens,
controleren ledenkaarten, beheren kerkelijke gegevens en bewaken de kwaliteit van de
administratie.
Ledenadministrateurs gebruiken DocBase onder meer voor:
• verwerken van SILA-mutaties;
• controleren van ledenkaarten;
• opschonen van dubbele relaties;
• verwerken van overlijden;
• controleren van kerkverlaters;
• bijhouden van voorkeursparochies;
• beheren van kerkelijke data;
• ondersteunen van KASKI-rapportage.
Voor ledenadministrateurs is het belangrijk dat zij niet alleen losse gegevens aanpassen, maar
steeds de samenhang controleren.

Bron: Handleiding DocBase v1.8b, PDF-pagina 63."
