ID;Systeem;Subthema;Categorie;Onderwerp;Omschrijving melding;Toelichting melding;Soort melding;Antwoord of oplossing
12;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Verwerken SILA-mutaties;Verwerken SILA-mutaties;Pagina 13;FAQ;"• SILA-gegevens worden in DocBase automatisch verwerkt zodra deze binnenkomen. Dat wil zeggen dat de “nieuwe informatie” in DocBase wordt geplaatst. Bijvoorbeeld bij een verhuizing wordt het nieuwe adres meteen in DocBase geplaatst. Dit vraagt dus geen actie van de ledenadministrateur. • Overblijvende acties ledenadministrateur zijn o.a.: • Bepaal wat te doen met abonnementen en vrijwilligerstaken • Check en pas aan de samenstelling gezinssituatie • “Welkomstpakket” sturen? • Verhuizing binnen de eigen parochie; afhankelijk van het beleid van de parochie met betrekking tot inrichting locatie verantwoordelijkheden • Eventueel voorkeurlocatie aangeven"
13;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Type mutaties en uit te voeren acties;Type mutaties en uit te voeren acties;Pagina 13;FAQ;"Type Mutatie Mogelijke vervolgacties 10 Response op een aanmelding Dit is een terugmelding Let op of er een Foutmelding SILA ontstaat, zoals; 21 Aanmelding: geslachtsnaam is leeg 22 Aanmelding: ongeldige geboortedatum 23 Aanmelding: postcode bestaat niet 25 Aanmelding: persoon niet gevonden in GBA 27 Aanmelding: persoon heeft geheim adres 32 Aanmelding: bijhouden PL opgeschort wegens overlijden Aanmelding niet mogelijk - Overleden of geboortedatum niet ingevuld 42 Aanmelding: geblokkeerd wegens bezwaar 11 Response op een afmelding Indien de afmelding is gedaan n.a.v. een verzoek tot uitschrijving, moet het lid uit DocBase worden verwijderd. Volg de PROCEDURE VERWIJDEREN KERKVERLATER OF ADMINISTRATIEVE UITSCHRIJVING v1.2 12 Notificatie van een afmelding door SILA Indien de afmelding is gedaan n.a.v. een verzoek tot uitschrijving, moet het lid uit DocBase worden verwijderd. Volg de PROCEDURE VERWIJDEREN KERKVERLATER OF ADMINISTRATIEVE UITSCHRIJVING v1.2 Type Mutatie Mogelijke vervolgacties 20 verwerkte aanmelding van een voorkeurs lid De parochie kan bepalen of deze mutaties verder behandeld moeten worden indien een andere parochie een voorkeurs lid aan- of afmeldt 21 verwerkte afmelding van een voorkeurs lid 30 melding n.a.v. een Kaski mutatie Parochie grenzen zijn aangepast; check of het betreffende lid voorkeurparochiaan moet worden 40 melding n.a.v. het opheffen van een parochie Parochie grenzen zijn aangepast; check of het betreffende lid voorkeurparochiaan moet worden 50 Adreswijziging GBA (Binnen parochiegrenzen) Centrale administratie: geen Hybride/decentrale administraties: zie hierna; controle/acties 1 50 Adreswijziging GBA (Nieuwkomer) Zie hierna; controle/acties 1 50 Adreswijziging GBA (Vertrokken) Zie hierna; controle/acties 1 51 Naamswijziging GBA Geen Indien naamwijziging n.a.v. huwelijk, is er een mutatie “53 Wijziging burgerlijke staat” aan gekoppeld 52 Bericht van overlijden Zie hierna; controles/acties 2 53 Wijziging burgerlijke staat Zie hierna; controles/acties 3 54 Geheim adres (afmelding) Over dit onderwerp zijn richtlijnen opgesteld die per brief vanuit uw bisdom naar de parochiebesturen zijn verzonden. Wij verwijzen u hier graag naar. 55 RNI (afmelding) Betreft vertrek naar buitenland. Hier is soms ook een mutatie “50 Adreswijziging GBA (Vertrokken)” aan gekoppeld. U kunt dit lid eventueel verwijderen. 59 gecombineerde mutatie (bijv. adreswijziging + burgerlijke staat) Zie hierna; controles/acties 1 + 3 80 Foutherstel Geen 99 Adreswijziging GBA a.g.v. infrastructurele wijziging Geen Controles/acties 1; n.a.v. adreswijzigingen (SILA-mutatie code 50) 1. Kijk bij nieuwkomers of de gezinsrelatie moet worden aangepast: Klik op de tab medebewoners en bekijk of de juiste persoon hoofd is; zo niet, dan kan dit op de ledenkaart worden aangepast (veld “hoofdbewoner op dit adres?” ja of nee en het veld “Gezinsrelatie\woonrelatie” echtgenoot, inwonend, kind, partner, anders; voor hoofbewoner leeglaten) 2. Kijk bij vertrokkenen of de abonnementen en vrijwilligerstaken moeten worden aangepast. Als het lid vrijwilliger in de parochie blijft, of blijft betalen, het lid als voorkeurlid aanmelden. Controles / acties 2; n.a.v. overlijden (SILA-mutatie 52) 1. Kijk bij overledenen of er abonnementen zijn die gestopt moeten worden klik op “overige functie” en dan op “abonnementen” Als er een parochieblad abonnement staat, beëindig deze dan; is er een nabestaande op het zelfde adres, maak een nieuw abonnement voor de nabestaande aan Heeft de overledene een kerkbijdrage abonnement, beëindig dit abonnement; is er een nabestaande naar wie het abonnement moet worden overgezet, zorg ervoor dat het juiste bankrekeningnummer op de ledenkaart van de nabestaande staat en maak een nieuwe debiteur en een nieuw abonnement aan. Beëindigen abonnement: a. Vul in het veld “Beëindigingsdatum abonnement” de datum van beëindiging in. b. Verander het veld “Status abonnement” in beëindigd. 2. Heeft de overledenen vrijwilligers taken, beëindig de taken: a. Vul in het veld “Functie beëindigd op” de datum van beëindiging in. 3. Kijk op de ledenkaart of de overledene Hoofdbewoner is. Zet dit op N.v.t. en wijs een eventuele medebewoner aan als Hoofdbewoner. 4. Verwijder in ExactOnline de toewijzingsregel behorend bij de debiteur van de overledene. Controle / acties 3; n.a.v. wijziging burgerlijke staat (SILA-mutatiecode 53) 1. Voeg de partner toe: a. Vul in he veld “Echtgeno(o)t(e) Docbase-ID” het lidnummer van de partner in (Rel-ID van de ledenkaart). Indien niet bekend kan door het klikken op het vergrootglas naar de partner gezocht worden. 2. Zorg voor juiste toekenning van hoofdbewoner en gezinsrelatie: a. “Hoofdbewoner op dit adres?” ja of nee b. “Gezinsrelatie\woonrelatie” echtgenoot, inwonend, kind, partner, anders; in geval van hoofbewoner, dit veld leeglaten"
14;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Aanmaken zoekopdracht voor SILA-mutaties die verder geen actie nodig hebben;Aanmaken zoekopdracht voor SILA-mutaties die verder geen actie nodig hebben;Pagina 15;FAQ;"Er zijn een aantal SILA-mutaties waarvoor de ledenadministrateur geen verdere actie hoeft te nemen; deze kunnen meteen op “Sila Mutaties verwerkt” worden gezet. Stel een zoekopdracht samen en sla deze op; dit is een éénmalige actie waardoor u later de zoekopdracht eenvoudig uit kunt voeren. 1. Login met P-account 2. Open 97. SILA Mutaties rapportage 3. Klik op “Zoek en vind” en vul het formulier op basis van de tabel in paragraaf “Type mutaties en uit te voeren acties” in; of mutaties inderdaad zoals voorgesteld geen actie vereisen, is door de parochie zelf te bepalen. Voor hybride en decentrale administraties: LET OP: voor centrale administratie kan de volgende regel nog worden toegevoegd: 4. Klik op “Vind nu!” 5. Klik recht boven in het scherm op “Overige” – “Opslaan zoekopdracht” 6. Vul het volgende scherm in en klik op OK; geef een duidelijke omschrijving waaruit goed is op te maken welke selectie er is toegepast. Let op dat de vinkjes bij “houd mij op de hoogte” worden verwijderd (anders wordt er bij iedere nieuwe SILA-mutatie een mail gestuurd). 7. U vindt de zoekopdracht nu terug om “Mijn werkplek” linksboven in het scherm."
15;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;“Verwerkstatus” van mutaties die geen actie vereisen op “verwerkt” zetten;“Verwerkstatus” van mutaties die geen actie vereisen op “verwerkt” zetten;Pagina 17;FAQ;"1. Login met P-account 2. Open “Mijn werkplek” (1) 3. Klik op het plusteken (2) 4. Klik op de link van de zoekopdracht die hierboven is aangemaakt; bijvoorbeeld: “SILA- mutaties die geen actie nodig hebben; mutatie type: 20 - 21 - 51 - 80 - 99” 5. Klik in het vakje links naast “Rel-ID” (4) 6. Klik op “w 7. Wijzig status” (5) 8. Vul het volgende scherm als volgt in en klik op OK"
16;DocBase;DOSSIERS;03. Overzicht SILA Rapportage;Verwerken SILA mutaties;Verwerken SILA mutaties;Pagina 18;FAQ;"1. Het is belangrijk met de juiste code in te loggen: Login met P-account voor centrale administratie Log in met L-account voor locatie administratie als onderdeel van en hybride of decentrale administratie. 2. Zet eerst de mutaties die geen verdere aandacht nodig hebben op “verwerkt”; zie paragraaf 0 “Verwerkstatus” van mutaties die geen actie vereisen op “verwerkt” zetten. 3. Open de lijst “03. Overzicht SILA Rapportage” (1) 4. Klik op de link “Klik hier om het overzicht SILA-rapportage te openen” (2) 5. Het beste is de mutaties nu op “Relatie ID ledenadmin” te sorteren zodat het opvalt als er meerdere mutaties voor 1 persoon aanwezig zijn. (8) 6. Klik op de link (blauw onderstreept) onder “Relatie ID ledenadmin” (9) De SILA-informatie wordt nu getoond. In de lijst zijn de oude ende nieuwe gegevens aangegeven. 7. Klik op de link “Relatie ID ledenadmin” De ledenkaart wordt nu geopend 8. Klik op “overige tabs” (11) en op “Mutatie historie” (12) Nu worden al wijzigingen getoond; de kolom “Datum” geeft de datum van wijziging aan. Staat er onder “Gebruikersnaam” “docbase” en onder “Applicatie” “DocBase API” , dan is het een mutatie die via SILA komt. Anders staat er een inlogcode van een gebruiker en weet je wie de aanpassing heeft gedaan. Het is nu zichtbaar wat de SILA-mutaties zijn geweest. 9. Neem op basis van de gegevens van de SILA-mutatie de nodige acties (zie hoofdstuk “Type mutaties en uit te voeren acties”) 10. Nadat de benodigde acties zijn ondernomen, klik boven in het scherm (in de groene tekst) op “Klik hier om het overzicht SILA-rapportage te openen (1. Nieuwe Sila mutaties)” 11. U krijgt dan de lijst met SILA-mutaties weer te zien. 12. Nadat alle mutaties zijn behandeld, kunnen de mutaties op “verwerkt” worden gezet (u kunt dat ook na iedere mutatie per regel doen, selecteer dan alleen de regel van de mutatie die is verwerkt). a. Klik in het vierkante vakje dat links naast “Rel-ID” staat. Er verschijnt een vinkje in alle vierkantjes die er onder staan. b. Klik op “wijzig status” c. Selecteer “3. Sila Mutatie verwerkt” d. Klik op “OK” Als er veel mutaties zijn kan het zijn dat er een 2 e blad komt met te verwerken mutaties waarvoor dezelfde acties kunnen worden uitgevoerd."
17;DocBase;DOSSIERS;04. Status voorkeursparochie;In de volgende gevallen spreken we van een voorkeurparochiaan:;In de volgende gevallen spreken we van een voorkeurparochiaan:;Pagina 20;FAQ;- Woont binnen de geografische grenzen van een andere parochie maar heeft aangegeven betrokken te zijn bij uw parochie of locatie. - Woont binnen de geografische grenzen van een andere parochie maar is vrijwilliger in uw parochie of locatie. Woont binnen de geografische grenzen van een andere parochie maar betaalt kerkbijdrage in uw parochie of locatie.
18;DocBase;DOSSIERS;04. Status voorkeursparochie;Wanneer wordt GEEN voorkeurlid toegevoegd:;Wanneer wordt GEEN voorkeurlid toegevoegd:;Pagina 21;FAQ;"- Een rechthebbende: indien u de rechthebbende niet als lid in DocBase kunt vinden, voert u handmatig de NAW-gegevens op de grafkaart in - Een overledene: indien u de overledene niet als lid in DocBase kunt vinden, voert u handmatig de NAW-gegevens op de begravingenkaart in. - Iemand die niet in uw geografisch parochie/locatie woont ontvangt een sacrament in één van uw kerken maar geeft aan geen voorkeurparochiaan bij u parochie te willen zijn: u geeft de gegevens aan de geografische parochie door; zij dienen de gegevens in DocBase in te voeren. - Iemand die niet in uw geografisch parochie/locatie woont wordt vanuit één van uw kerken begraven: u geeft de gegevens aan de geografische parochie door; zij dienen de gegevens in DocBase in te voeren."
19;DocBase;DOSSIERS;04. Status voorkeursparochie;Uitzonderingen:;Uitzonderingen:;Pagina 21;FAQ;Het komt voor dat iemand wel vrijwilligerswerk bij u in de parochie doet, maar nadrukkelijk aangeeft verder bij de geografische parochie (of andere voorkeur parochie) verbonden te willen blijven. In dat geval kan de persoon een vrijwilligerstaak toegekend krijgen zonder deze eerst voorkeurparochiaan te maken. Ga als volgt te werk: 1. Open onder 06. Vrijwilligers: 2. Klik op “Nieuw +”: 3. Klik op het vergrootglas naast Lid Docbase-ID: 4. 5. U kunt nu zoeken naar een lid in de gehele landelijke database. Vul zoveel als mogelijk informatie in zodat er slechts 1 lid in de gehele database wordt gevonden. (Is de informatie zodanig dat er meerdere personen in DocBase worden gevonden, zal er niets worden getoond.) 6. Klik op “Vind nu!” 7. Heeft u voldoende informatie ingevuld om bij 1 persoon uit te komen, zal deze getoond worden. Klik in het vierkantje naast het nummer van het betreffende lis (er wordt dan een vinkje in het vakje geplaatst) en klik op OK: 8. Vul de overige gegevens in het formulier in en klik op OK Bovenstaande geldt ook voor Kerkelijke data en debiteuren. Voor kerkbijdrage abonnementen maakt u eerste een debiteur aan (zie hierboven) en voert u vervolgens onderstaande stappen uit: 1. Nadat u de debiteur heeft aangemaakt, opent u de tab Abonnementen: Had u de debiteurenkaart inmiddels gesloten, open deze dan opnieuw, waarna u het tabblad Abonnementen kunt openen. . 2. Klik op “Nieuw +“ 3. Vul het formulier in en klik op OK.
20;DocBase;DOSSIERS;04. Status voorkeursparochie;Aanmelden voorkeursparochiaan;Aanmelden voorkeursparochiaan;Pagina 23;FAQ;1. Klik op 04. Status voorkeur parochiaan (1) 2. Klik op de blauwe link 3. Klik op Nieuw + (2) 4. Klik op het vergrootglas naast “Ledenadministratie ID” (3) 5. Vul de beschikbare gegevens in betreffende velden in en klik op “Vind nu !”. (Vul alleen gegevens in waarvan u zeker bent). DocBase zal alleen een resultaat van een gevonden lid tonen als er op basis va de ingevulde gegevens slechts 1 persoon is gevonden. 6. Selecteer de gevonden persoon (4) en klik op OK (5). 7. Klik op het vergrootglas naast “Gewenste voorkeurpar.nr.” (6) en klik “Vind nu !” 8. Klik op OK 9. In geval van hybride of decentrale administratie: Open de ledenkaart met een P-account en vul het voorkeurlocatienummer is.
21;DocBase;DOSSIERS;04. Status voorkeursparochie;Afmelden voorkeursparochiaan;Afmelden voorkeursparochiaan;Pagina 24;FAQ;Om de voorkeursgegevens van een lid te verwijderen, opent u de betreffende ledenkaart. Klik op knop ‘Wijzigen’ en verwijder de gegevens in onderstaande velden: Klik vervolgens op knop ‘OK’ om te bevestigen. Opmerking: Na bovenstaande wijzing is ledenkaart nog zichtbaar op basis van veld ‘vorig voorkeurparochienr.’ of ‘vorig voorkeurlocatienr.’ Deze velden worden periodiek leeggemaakt, waarna ledenkaart niet meer zichtbaar is.
22;DocBase;DOCUMENTEN;02. Helpdesk tickets;02. Helpdesk tickets;02. Helpdesk tickets;Pagina 25;FAQ;Zie DOSSIERS 02. Helpdesk overzicht tickets Parochie
23;DocBase;RELATIES;01. Ledenadministratie;Hoe selecteer ik de parochianen die in mijn parochie wonen of voorkeur zijn;Hoe selecteer ik de parochianen die in mijn parochie wonen of voorkeur zijn;Pagina 25;FAQ;"In DocBase ziet een administrateur alle leden die - In de geografische parochie wonen (voor centrale Administraties) - In de geografische locatie wonen (voor hybride en decentrale administraties) - Voorkeurparochiaan in de parochie of locatie zijn - In de parochie of locatie hebben gewoond en zijn verhuisd (tot 3 maanden na verhuizing) Om nu alleen de parochianen te zien die in de parochie/locatie wonen dan wel voorkeurparochiaan zijn (en dus niet die inmiddels zijn verhuisd), kunt u de volgende zoekopdracht samenstellen: In de leden administratie, klik op “zoek en vind”. Voor een Centrale administratie: - Parochianen o Relatie status = Parochiaan o Geografisch parochienummer = Kaski nummer parochie o Voorkeur parochienummer <is leeg> - Voorkeur parochianen o Relatie status = Parochiaan o Voorkeur parochienummer = Kaski nummer parochie Voor Hybride en Decentrale administratie: - Parochianen o Relatie status = Parochiaan o Geografisch locatienummer = Kaski nummer parochie o Voorkeur parochienummer <is leeg> - Voorkeur parochianen o Relatie status = Parochiaan o Voorkeur locatienummer = Kaski nummer parochie Een zoekopdracht kunt u opslaan: 1. Klik op “Overige zoekfuncties (1) 2. Klik op “Opslaan zoekopdracht” (2) 3. Geef bij de omschrijving een duidelijk naam op. 4. Indien u per email van wijzigingen op de hoogte gehouden wilt worden kunt u 1 of meer vinkjes zetten in de vakjes waarbij de omschrijving begint met “houd mij op de hoogte”. Indien u dat niet wenst, zorgt u ervoor dat er geen vinkjes staan. Voor deze zoekfunctie is het niet aan te raden per mail op de hoogte gehouden te worden; u krijgt dan vele mails."
24;DocBase;RELATIES;01. Ledenadministratie;Toevoegen lid of Kerktoetreder;Toevoegen lid of Kerktoetreder;Pagina 26;FAQ;Als een persoon gedoopt wordt dient u deze toe te voegen aan de ledenadministratie en daarnaast bij SILA aan te melden. Voor het correct toevoegen van een lid verwijzen wij u naar het document PROCEDURE Kerktoetreder 1.0 .
25;DocBase;RELATIES;01. Ledenadministratie;Verwijderen kerkverlater of administratieve uitschrijving;Verwijderen kerkverlater of administratieve uitschrijving;Pagina 27;FAQ;Als een persoon uit de RK-Kerk wenst te worden uitgeschreven (=kerkverlater), dient de pastoor hiervan op de hoogte te worden gebracht. De pastoor zal de vastgestelde procedure voor kerkverlating volgen (meer informatie vindt u op www.rkkerk.nl ). Wenst iemand niet geregistreerd te zijn in de ledenadministratie (= administratieve uitschrijving) dan hoeft de procedure voor kerkverlating niet te worden gevolgd. In beide gevallen dient het lid te worden verwijderd uit de DocBase ledenadministratie. Voor het correct verwijderen van het lid verwijzen wij u naar document ‘Procedure verwijderen kerkverlater of administratieve uitschrijving’. Deze procedure vindt u in DocBase – 01. Instructies – blauwe link – tabblad ‘Documentatie’. Gebruik de status Kerkverlater alleen indien het een kerkverlater of een administratieve uitschrijving bevat.
26;DocBase;RELATIES;01. Ledenadministratie;Verwijderen lid anders dan een kerkverlater;Verwijderen lid anders dan een kerkverlater;Pagina 27;FAQ;Er kan ook een andere reden zijn om een lid te verwijderen. Bijvoorbeeld omdat het lid dubbel voorkomt. Of dat het een lid betreft waar verder niets aanhangt en waarvan u twijfelt of deze nog wel op dit adres woont. In ieder geval betreft het altijd een lid ZONDER SILA-stip. U kunt nu het lid verwijderen door op het tabblad (Mede-)bewoners het betreffende lid te selecteren. Klik op Overige functies en op Verwijder. Het lid wordt in de Prullenbak geplaatst. De prullenbak is voor u als gebruiker niet zichtbaar.
27;DocBase;RELATIES;01. Ledenadministratie;Iemand wil geen correspondentie ontvangen van de parochie;Iemand wil geen correspondentie ontvangen van de parochie;Pagina 27;FAQ;Als de parochie besluit deze parochianen in het ledenbestand te behouden, gebruik dan het veld “Correspondentievoorkeur” en selecteer “uitsluiten van correspondentie”. Let op! Zorg er bij het maken van selecties voor mailing etc. voor dat leden met correspondentievoorkeur ‘uitsluiten van correspondentie’ ook daadwerkelijk worden uitgesloten. DocBase doet dit NIET automatisch.
28;DocBase;RELATIES;01. Ledenadministratie;Kan ik leden die verhuisd zijn en niet meer van belang zijn verwijderen? NEE;Kan ik leden die verhuisd zijn en niet meer van belang zijn verwijderen? NEE;Pagina 28;FAQ;Nee, dat mag niet. Er is één landelijke database voor alle parochies. Een vertrokken lid is dus ook zichtbaar voor de nieuwe parochie. Als dit lid verwijderd zou worden, is het lid ook niet meer beschikbaar voor de nieuwe parochie. Er is bij de opzet van DocBase voor gekozen om leden die verhuisd zijn nog 3 maanden zichtbaar te houden voor de parochies waar ze vandaan komen. Hier is voor gekozen om ervoor te zorgen dat als iemand verhuist die kerkbijdrage betaalt, een parochieblad ontvangt, vrijwilliger is etc., na een verhuizing niet meteen uit beeld is. De parochie waar de persoon vandaan komt kan dan nog maatregelen nemen om de administratie aan te passen en het lid eventueel als voorkeurparochiaan aan te melden. Na 3 maanden is het verhuisde lid niet meer zichtbaar voor de vorige parochie. Om de leden die zijn verhuisd niet te zien, kan er een zoekopdracht gemaakt worden waarbij aangegeven wordt dat het Geografische parochienummer “gelijk is aan” (selecteer =) het Kaski nummer van de parochie. Deze zoekopdracht kan worden opgeslagen. Bij vragen hieromtrent neem contact op met de helpdesk.
29;DocBase;RELATIES;01. Ledenadministratie;Hoe om te gaan met leden met geheim adres;Hoe om te gaan met leden met geheim adres;Pagina 28;FAQ;"Als een lid bij de gemeente heeft aangegeven een geheim adres te hebben, wordt het lid bij SILA afgemeld en wordt er door SILA een mutatie aan de betreffende parochie doorgegeven met uitschrijving in verband met geheim adres; type melding: 54 Geheim adres (afmelding). U mag de adresgegevens terugzetten op de ledenkaart. Het is verstandig om het lid een bericht te sturen waarin staat dat er geen adresmutaties automatisch meer binnenkomen en dat het lid verzocht wordt om adreswijzigingen of andere mutaties vanaf nu zelf door te geven aan de parochie."
30;DocBase;RELATIES;01. Ledenadministratie;Leden die bij SILA zijn afgemeld;Leden die bij SILA zijn afgemeld;Pagina 28;FAQ;"Let hierbij op het volgende: 1. Overledenen worden ook bij SILA afgemeld; het is de vraag of deze overledenen ook uit DocBase verwijderd moeten worden. Advies is om dat NIET te doen als er nog nabestaanden zijn of als de overledene op uw parochiebegraafplaats is begraven. 2. Leden met een geheim adres worden ook bij SILA afgemeld; deze leden wilt u wellicht wel in DocBase ledenadministratie behouden. Zie paragraaf “Hoe om te gaan met leden met geheim adres” 3. Leden die naar het buitenland zijn verhuisd worden bij SILA afgemeld. In grensgebieden komt het vaak voor dat deze mensen nog wel lid willen zijn van de parochie. Neem voor deze leden de voorkeurparochie informatie op. Advies is om leden te verwijderen als deze de volgende indicatie hebben (let op instructies in hoofdstuk “Hoe om te gaan met leden met geheim adres”: - Sila aan- afmelding = afgemeld - Mutatiesoort Sila = 11"
